,title,solution_1,solution_2,runtime_1,runtime_2,video_link,completed
201501,--- Day 1: Not Quite Lisp ---,,,,,,1
201502,--- Day 2: I Was Told There Would Be No Math ---,,,,,,1
201503,--- Day 3: Perfectly Spherical Houses in a Vacuum ---,,,,,,1
201504,--- Day 4: The Ideal Stocking Stuffer ---,,,,,,1
201505,--- Day 5: Doesn't He Have Intern-Elves For This? ---,,,,,,1
201506,--- Day 6: Probably a Fire Hazard ---,,,,,,1
201507,--- Day 7: Some Assembly Required ---,,,,,,1
201508,--- Day 8: Matchsticks ---,,,,,,1
201509,--- Day 9: All in a Single Night ---,,,,,,1
201510,"--- Day 10: Elves Look, Elves Say ---",,,,,,1
201511,--- Day 11: Corporate Policy ---,,,,,,1
201512,--- Day 12: JSAbacusFramework.io ---,,,,,,1
201513,--- Day 13: Knights of the Dinner Table ---,,,,,,1
201514,--- Day 14: Reindeer Olympics ---,,,,,,1
201515,--- Day 15: Science for Hungry People ---,,,,,,1
201516,--- Day 16: Aunt Sue ---,,,,,,1
201517,--- Day 17: No Such Thing as Too Much ---,,,,,,1
201518,--- Day 18: Like a GIF For Your Yard ---,,,,,,1
201519,--- Day 19: Medicine for Rudolph ---,,,,,,1
201520,--- Day 20: Infinite Elves and Infinite Houses ---,,,,,,1
201521,--- Day 21: RPG Simulator 20XX ---,,,,,,1
201522,--- Day 22: Wizard Simulator 20XX ---,,,,,,1
201523,--- Day 23: Opening the Turing Lock ---,,,,,,1
201524,--- Day 24: It Hangs in the Balance ---,,,,,,1
201525,--- Day 25: Let It Snow ---,,,,,,1
201601,--- Day 1: No Time for a Taxicab ---,,,,,,1
201602,--- Day 2: Bathroom Security ---,,,,,,1
201603,--- Day 3: Squares With Three Sides ---,,,,,,1
201604,--- Day 4: Security Through Obscurity ---,,,,,,1
201605,--- Day 5: How About a Nice Game of Chess? ---,,,,,,1
201606,--- Day 6: Signals and Noise ---,,,,,,1
201607,--- Day 7: Internet Protocol Version 7 ---,,,,,,1
201608,--- Day 8: Two-Factor Authentication ---,,,,,,1
201609,--- Day 9: Explosives in Cyberspace ---,,,,,,1
201610,--- Day 10: Balance Bots ---,,,,,,1
201611,--- Day 11: Radioisotope Thermoelectric Generators ---,,,,,,1
201612,--- Day 12: Leonardo's Monorail ---,,,,,,1
201613,--- Day 13: A Maze of Twisty Little Cubicles ---,,,,,,1
201614,--- Day 14: One-Time Pad ---,,,,,,1
201615,--- Day 15: Timing is Everything ---,,,,,,1
201616,--- Day 16: Dragon Checksum ---,,,,,,0
201617,--- Day 17: Two Steps Forward ---,,,,,,0
201618,--- Day 18: Like a Rogue ---,,,,,,0
201619,--- Day 19: An Elephant Named Joseph ---,,,,,,0
201620,--- Day 20: Firewall Rules ---,,,,,,0
201621,--- Day 21: Scrambled Letters and Hash ---,,,,,,0
201622,--- Day 22: Grid Computing ---,,,,,,0
201623,--- Day 23: Safe Cracking ---,,,,,,0
201624,--- Day 24: Air Duct Spelunking ---,,,,,,0
201625,--- Day 25: Clock Signal ---,,,,,,0
201701,--- Day 1: Inverse Captcha ---,,,,,,1
201702,--- Day 2: Corruption Checksum ---,,,,,,1
201703,--- Day 3: Spiral Memory ---,,,,,,1
201704,--- Day 4: High-Entropy Passphrases ---,,,,,,1
201705,"--- Day 5: A Maze of Twisty Trampolines, All Alike ---",,,,,,1
201706,--- Day 6: Memory Reallocation ---,,,,,,1
201707,--- Day 7: Recursive Circus ---,,,,,,1
201708,--- Day 8: I Heard You Like Registers ---,,,,,,1
201709,--- Day 9: Stream Processing ---,,,,,,1
201710,--- Day 10: Knot Hash ---,,,,,,1
201711,--- Day 11: Hex Ed ---,,,,,,1
201712,--- Day 12: Digital Plumber ---,,,,,,1
201713,--- Day 13: Packet Scanners ---,,,,,,0
201714,--- Day 14: Disk Defragmentation ---,,,,,,0
201715,--- Day 15: Dueling Generators ---,,,,,,0
201716,--- Day 16: Permutation Promenade ---,,,,,,0
201717,--- Day 17: Spinlock ---,,,,,,0
201718,--- Day 18: Duet ---,,,,,,0
201719,--- Day 19: A Series of Tubes ---,,,,,,0
201720,--- Day 20: Particle Swarm ---,,,,,,0
201721,--- Day 21: Fractal Art ---,,,,,,0
201722,--- Day 22: Sporifica Virus ---,,,,,,0
201723,--- Day 23: Coprocessor Conflagration ---,,,,,,0
201724,--- Day 24: Electromagnetic Moat ---,,,,,,0
201725,--- Day 25: The Halting Problem ---,,,,,,0
201801,--- Day 1: Chronal Calibration ---,,,,,,1
201802,--- Day 2: Inventory Management System ---,,,,,,1
201803,--- Day 3: No Matter How You Slice It ---,,,,,,1
201804,--- Day 4: Repose Record ---,,,,,,1
201805,--- Day 5: Alchemical Reduction ---,,,,,,1
201806,--- Day 6: Chronal Coordinates ---,,,,,,1
201807,--- Day 7: The Sum of Its Parts ---,,,,,,1
201808,--- Day 8: Memory Maneuver ---,,,,,,1
201809,--- Day 9: Marble Mania ---,,,,,,1
201810,--- Day 10: The Stars Align ---,,,,,,1
201811,--- Day 11: Chronal Charge ---,,,,,,1
201812,--- Day 12: Subterranean Sustainability ---,,,,,,0
201813,--- Day 13: Mine Cart Madness ---,,,,,,0
201814,--- Day 14: Chocolate Charts ---,,,,,,0
201815,--- Day 15: Beverage Bandits ---,,,,,,0
201816,--- Day 16: Chronal Classification ---,,,,,,0
201817,--- Day 17: Reservoir Research ---,,,,,,0
201818,--- Day 18: Settlers of The North Pole ---,,,,,,0
201819,--- Day 19: Go With The Flow ---,,,,,,0
201820,--- Day 20: A Regular Map ---,,,,,,0
201821,--- Day 21: Chronal Conversion ---,,,,,,0
201822,--- Day 22: Mode Maze ---,,,,,,0
201823,--- Day 23: Experimental Emergency Teleportation ---,,,,,,0
201824,--- Day 24: Immune System Simulator 20XX ---,,,,,,0
201825,--- Day 25: Four-Dimensional Adventure ---,,,,,,0
201901,--- Day 1: The Tyranny of the Rocket Equation ---,,,,,,1
201902,--- Day 2: 1202 Program Alarm ---,,,,,,1
201903,--- Day 3: Crossed Wires ---,,,,,,1
201904,--- Day 4: Secure Container ---,,,,,,1
201905,--- Day 5: Sunny with a Chance of Asteroids ---,,,,,,1
201906,--- Day 6: Universal Orbit Map ---,,,,,,1
201907,--- Day 7: Amplification Circuit ---,,,,,,1
201908,--- Day 8: Space Image Format ---,,,,,,1
201909,--- Day 9: Sensor Boost ---,,,,,,1
201910,--- Day 10: Monitoring Station ---,,,,,,1
201911,--- Day 11: Space Police ---,,,,,,0
201912,--- Day 12: The N-Body Problem ---,,,,,,0
201913,--- Day 13: Care Package ---,,,,,,0
201914,--- Day 14: Space Stoichiometry ---,,,,,,0
201915,--- Day 15: Oxygen System ---,,,,,,0
201916,--- Day 16: Flawed Frequency Transmission ---,,,,,,0
201917,--- Day 17: Set and Forget ---,,,,,,0
201918,--- Day 18: Many-Worlds Interpretation ---,,,,,,0
201919,--- Day 19: Tractor Beam ---,,,,,,0
201920,--- Day 20: Donut Maze ---,,,,,,0
201921,--- Day 21: Springdroid Adventure ---,,,,,,0
201922,--- Day 22: Slam Shuffle ---,,,,,,0
201923,--- Day 23: Category Six ---,,,,,,0
201924,--- Day 24: Planet of Discord ---,,,,,,0
201925,--- Day 25: Cryostasis ---,,,,,,0
202001,--- Day 1: Report Repair ---,,,,,,1
202002,--- Day 2: Password Philosophy ---,,,,,,1
202003,--- Day 3: Toboggan Trajectory ---,,,,,,1
202004,--- Day 4: Passport Processing ---,,,,,,1
202005,--- Day 5: Binary Boarding ---,,,,,,1
202006,--- Day 6: Custom Customs ---,,,,,,1
202007,--- Day 7: Handy Haversacks ---,,,,,,1
202008,--- Day 8: Handheld Halting ---,,,,,,1
202009,--- Day 9: Encoding Error ---,,,,,,1
202010,--- Day 10: Adapter Array ---,,,,,,1
202011,--- Day 11: Seating System ---,,,,,,1
202012,--- Day 12: Rain Risk ---,,,,,,1
202013,--- Day 13: Shuttle Search ---,,,,,,1
202014,--- Day 14: Docking Data ---,,,,,,1
202015,--- Day 15: Rambunctious Recitation ---,,,,,,1
202016,--- Day 16: Ticket Translation ---,,,,,,0
202017,--- Day 17: Conway Cubes ---,,,,,,0
202018,--- Day 18: Operation Order ---,,,,,,0
202019,--- Day 19: Monster Messages ---,,,,,,0
202020,--- Day 20: Jurassic Jigsaw ---,,,,,,0
202021,--- Day 21: Allergen Assessment ---,,,,,,0
202022,--- Day 22: Crab Combat ---,,,,,,0
202023,--- Day 23: Crab Cups ---,,,,,,0
202024,--- Day 24: Lobby Layout ---,,,,,,0
202025,--- Day 25: Combo Breaker ---,,,,,,0
202101,--- Day 1: Sonar Sweep ---,,,,,,1
202102,--- Day 2: Dive! ---,,,,,,1
202103,--- Day 3: Binary Diagnostic ---,,,,,,1
202104,--- Day 4: Giant Squid ---,,,,,,1
202105,--- Day 5: Hydrothermal Venture ---,,,,,,1
202106,--- Day 6: Lanternfish ---,,,,,,1
202107,--- Day 7: The Treachery of Whales ---,,,,,,1
202108,--- Day 8: Seven Segment Search ---,,,,,,1
202109,--- Day 9: Smoke Basin ---,,,,,,1
202110,--- Day 10: Syntax Scoring ---,,,,,,1
202111,--- Day 11: Dumbo Octopus ---,,,,,,1
202112,--- Day 12: Passage Pathing ---,,,,,,1
202113,--- Day 13: Transparent Origami ---,,,,,,1
202114,--- Day 14: Extended Polymerization ---,,,,,,1
202115,--- Day 15: Chiton ---,,,,,,1
202116,--- Day 16: Packet Decoder ---,,,,,,0
202117,--- Day 17: Trick Shot ---,,,,,,0
202118,--- Day 18: Snailfish ---,,,,,,0
202119,--- Day 19: Beacon Scanner ---,,,,,,0
202120,--- Day 20: Trench Map ---,,,,,,0
202121,--- Day 21: Dirac Dice ---,,,,,,0
202122,--- Day 22: Reactor Reboot ---,,,,,,0
202123,--- Day 23: Amphipod ---,,,,,,0
202124,--- Day 24: Arithmetic Logic Unit ---,,,,,,0
202125,--- Day 25: Sea Cucumber ---,,,,,,0
202201,--- Day 1: Calorie Counting ---,,,,,,1
202202,--- Day 2: Rock Paper Scissors ---,,,,,,1
202203,--- Day 3: Rucksack Reorganization ---,,,,,,1
202204,--- Day 4: Camp Cleanup ---,,,,,,1
202205,--- Day 5: Supply Stacks ---,,,,,,1
202206,--- Day 6: Tuning Trouble ---,,,,,,1
202207,--- Day 7: No Space Left On Device ---,,,,,,1
202208,--- Day 8: Treetop Tree House ---,,,,,,1
202209,--- Day 9: Rope Bridge ---,,,,,,1
202210,--- Day 10: Cathode-Ray Tube ---,,,,,,1
202211,--- Day 11: Monkey in the Middle ---,,,,,,1
202212,--- Day 12: Hill Climbing Algorithm ---,,,,,,1
202213,--- Day 13: Distress Signal ---,,,,,,1
202214,--- Day 14: Regolith Reservoir ---,,,,,,1
202215,--- Day 15: Beacon Exclusion Zone ---,,,,,,1
202216,--- Day 16: Proboscidea Volcanium ---,,,,,,1
202217,--- Day 17: Pyroclastic Flow ---,,,,,,1
202218,--- Day 18: Boiling Boulders ---,,,,,,1
202219,--- Day 19: Not Enough Minerals ---,,,,,,1
202220,--- Day 20: Grove Positioning System ---,,,,,,1
202221,--- Day 21: Monkey Math ---,,,,,,1
202222,--- Day 22: Monkey Map ---,,,,,,0
202223,--- Day 23: Unstable Diffusion ---,,,,,,0
202224,--- Day 24: Blizzard Basin ---,,,,,,0
202225,--- Day 25: Full of Hot Air ---,,,,,,0
202301,--- Day 1: Trebuchet?! ---,,,,,https://www.youtube.com/embed/JCPRb_rP1Kc?si=txQZXQlgFedtUYSm,1
202302,--- Day 2: Cube Conundrum ---,,,,,,1
202303,--- Day 3: Gear Ratios ---,,,,,,1
202304,--- Day 4: Scratchcards ---,,,,,,1
202305,--- Day 5: If You Give A Seed A Fertilizer ---,,,,,,1
202306,--- Day 6: Wait For It ---,,,,,,1
202307,--- Day 7: Camel Cards ---,,,,,,1
202308,--- Day 8: Haunted Wasteland ---,,,,,,1
202309,--- Day 9: Mirage Maintenance ---,,,,,,1
202310,--- Day 10: Pipe Maze ---,,,,,,1
202311,--- Day 11: Cosmic Expansion ---,,,,,,1
202312,--- Day 12: Hot Springs ---,,,,,,1
202313,--- Day 13: Point of Incidence ---,,,,,,1
202314,--- Day 14: Parabolic Reflector Dish ---,,,,,,1
202315,--- Day 15: Lens Library ---,,,,,,1
202316,--- Day 16: The Floor Will Be Lava ---,,,,,,1
202317,--- Day 17: Clumsy Crucible ---,,,,,,1
202318,--- Day 18: Lavaduct Lagoon ---,,,,,,1
202319,--- Day 19: Aplenty ---,,,,,,1
202320,--- Day 20: Pulse Propagation ---,,,,,,1
202321,--- Day 21: Step Counter ---,,,,,,1
202322,--- Day 22: Sand Slabs ---,,,,,,1
202323,--- Day 23: A Long Walk ---,,,,,,1
202324,--- Day 24: Never Tell Me The Odds ---,,,,,,1
202325,--- Day 25: Snowverload ---,,,,,,1
